id,question,answer,topic,difficulty,variables,resolvido
1,"(Unicamp 2023) A prática esportiva de ""pular corda"" vem conquistando muitos adeptos e se tornando uma modalidade de competição. Numa prova de velocidade, um atleta consegue dar 105 saltos em 30 segundos. Considerando que o ponto da corda que passa sob os pés e acima da cabeça do praticante descreve uma trajetória circular de raio r = 90 cm, qual é a velocidade escalar desse ponto da corda? Use π = 3.","Considerando 1 salto a cada volta, são 105 voltas (n) em 30 s (Δt). v=ΔS/Δt => n*(2πR)/Δt => (105*2*3*0,9)/30 => v=18,9m/s",Cinemática,Fácil,saltos=105;tempo=30;raio=90,FALSE
2,"(Unicamp 2021) Ao passar pelo sensor magnético, a velocidade linear de um ponto de uma fita cassete év 0,045 m/s. Depois de passar pelo sensor, a fita é enrolada em uma bobina circular de diâmetro d 6,0 cm. Em quanto tempo a bobina completa uma volta?","v=ΔS/Δt => v=πd/T => T=πd/v => T= (3*6*10^-2)/(4,5*10^-2) => T=4,0s",Cinemática,Fácil,linear_vel=0.045;diametro=6,FALSE
3,"(Unesp 2022) Uma pessoa comprou um chuveiro eletrônico e, lendo o manual de instruções do aparelho, encontrou as seguintes informações:Potência: 7 000 WConsumo mensal de energia: 42 kWhTensão: 220 VApós alguns cálculos, essa pessoa concluiu que o autor do manual considerou que os usuários desse chuveiro tomariam, em um mês de 30 dias, banhos que, em um dia, teriam duração, em média, de:",P=ΔE/Δt => Δt= ΔE/P => Δt =42/7 [(kWh/mês)/kW] => Δt= 6 [h/mês] => 6[60min/30dias] => Δt=12min/dia,Elétrica,Fácil,potencia=7000;consumo=42;tensao=220,FALSE
4,"(Unesp 2018) Uma bateria de smartphone de 4.000 mA*h e 5,0 V pode fornecer uma corrente elétrica média de 4.000 mA durante uma hora até que se descarregue. Calcule a quantidade de carga elétrica, em coulombs, que essa bateria pode fornecer ao circuito",Q=iΔt => Q=4000mA*h = 4 A * 3600s => Q= 14400C,Momentum e impulso,Fácil,carga=4000;tensao=5,FALSE
5,"Duas forças de módulos F1  8 N e F2  9 N formam entre si um ângulo de 60.Sendo cos 60=0,5 e sen 60=0,87, o módulo daforça resultante, em newtons, é, aproximadamente:","FR = √(F1^2+F2^2+2*F1*F2*cos60) => FR = √(8^2+9^2+2*8*9*0,5) => FR= 17,7N",Dinâmica,Médio,f1=8;f2=9;angulo=60,FALSE
6,"(Fuvest 2023) O Brasil é o país recordista mundial em queda de raios, com uma estimativa de mais de 70 milhões de eventos desse tipo por ano. Uma descarga elétrica dessas pode envolver campos elétricos da ordem de dez kilovolts por metro e um deslocamento de 30 coulombs de carga em um milésimo de segundo. Com base nessas estimativas e assumindo o campo elétrico como sendo constante, a potência associada a um raio de 100 m de comprimento corresponde a:",Calculando a tensão: U=Ed=10^4*100 => U=10^6V. Calculando a Corrente: i= Q/Δt = 30/10^-3 => i=30*10^3A.  Aplicando a expressão da potência elétrica: P=Ui => P=10^6*30*10^3 => P= 30*10^9W => P= 30GW,Elétrica,Médio,campo=10000;deslocamento=30;comprimento=100,FALSE
7,"(Unesp 2018) Para obter experimentalmente a curva da diferença de potencial U em função da intensidade da corrente elétrica i para uma lâmpada, um aluno montou o circuito a seguir. Colocando entre os pontos A e B resistores com diversos valores de resistência, ele obteve diferentes valores de U e de i para a lâmpada.Considerando que a bateria de 9,0 V, os aparelhos de medida e os fios de ligação sejam ideais, quando o alunoobteve as medidas U=5,70 V e i=0,15 A, a resistência do resistor colocado entre os pontos A e B era de","A força eletromotriz da Bateria (E) é ogual à ddp (diferença de potencial) na lâmpada (U) somada com a ddp no resistor (UR). Assim: E=U+UR => E=U+Ri => 9=5,7+R(0,15) => R= (9-5,7)/0,15 = 3,3/0,15 => R=22Ω",Eletrodinamica,Médio,bateria=9;U=5.7;i=0.15,FALSE
8,"(ENEM 2015) Um carro solar é um veículo que utiliza apenas a energia solar para a sua locomoção. Tipicamente, o carro contém um painel fotovoltaico que converte a energia do Sol em energia elétrica que, por sua vez, alimenta um motor elétrico. A imagem mostra o carro solar Tokai Challenger, desenvolvido na Universidade de Tokai, no Japão, e que venceu o World Solar Challenge de 2009, uma corrida internacional de carros solares, tendo atingido uma velocidade média acima de 100 km/h.Considere uma região plana onde a insolação (energia solar por unidade de tempo e de área que chega à superfície da Terra) seja de 1 000 W/m² , que o carro solar possua massa de 200 kg e seja construído de forma que o painel fotovoltaico em seu topo tenha uma área de 9,0 m² e rendimento de 30%.","Identifica-se na questão insolação como E/t.A = 1000. Como só 30% é aproveitado, E/t.A = 30%*1000 E a E=mv^2/2 mv^2/2.t.A = 30%*1000 Como sabemos quem é m, v e A. Fazendo as contas, temos: t=33,333 s",Cinemática,Difícil,velocidade=100;insol=1000;massa=200;area=9;rendimento=30,FALSE
9,"(ENEM 2017) Um motorista que atende a uma chamada de celular é levado à desatenção, aumentando a possibilidade de acidentes ocorrerem em razão do aumento de seu tempo de reação. Considere dois motoristas, o primeiro atento e o segundo utilizando o celular enquanto dirige. Eles aceleram seus carros inicialmente a 1,00 m/s². Em resposta a uma emergência,  freiam com uma desaceleração igual a 5,00 m/s². O motorista atento aciona o freio à velocidade de 14,0 m/s, enquanto o desatento, em situação análoga, leva 1,00 segundo a mais para iniciar a frenagem.","O motorista atento começa a desacelerar com 5,00 m/s^2 a partir de 14 m/s. Usando a equação de Torricelli, Vf^2 = Vi^2 +2*a*Δ => 0 = 14^2-2.5.ΔS1 => ΔS1 = 19,6 m.",Cinemática,Difícil,acel=1;desacel=5;vel1=14;tempo=1,FALSE
10,"(ENEM 2015) Uma garrafa térmica tem como função evitar a troca de calor entre o líquido nela contido e o ambiente, mantendo a temperatura de seu conteúdo constante. Uma forma de orientar os consumidores na compra de uma garrafa térmica seria criar um selo de qualidade, como se faz atualmente para informar o consumo de energia de eletrodomésticos. O selo identificaria cinco categorias e informaria a variação de temperatura do conteúdoda garrafa, depois de decorridas seis horas de seu fechamento, por meio de uma porcentagem do valor inicial da temperatura de equilíbrio do líquido na garrafa. O quadro apresenta as categorias e os intervalos de variação percentual da temperatura. 
                                 Tipo de Selo   |   Variação de Temperatura
                                       
                                        A                Menor que 10%
                                        B               Entre 10% e 25%
                                        C               Entre 25% e 40%
                                        D               Entre 40% e 55%
                                        E                Maior que 55%
            Para atribuir uma categoria a um modelo de garrafa térmica, são preparadas e misturadas, em uma garrafa, duas amostras de água, uma a 10°C e outra a 40°C, na proporção de um terço de água fria para dois terços de água quente. A garrafa é fechada. Seis horas depois, abre-se a garrafa e mede-se a temperatura da água, obtendo-se 16°C","O primeiro passo é calcular a temperatura de equilíbrio: Qrecebido + Qcedido=0 =>  mfria . c . (Tf-Tif) + mquente . c . (Tf-Tiq) = 0 => mfria . c . (Tf-10) + 2mfrio . c . (Tf-40) = 0 (a relação entre as massas é 2mquente para 1mfria)=> Tf-10+2Tf - 80 = 0 => 3Tf - 90 = 0 => Tf = 30 ºC Assim, depois de 6h, a temperatura variou de 30ºC para 16ºC, ou seja, 14ºC - uma variação de  aproximadamente 50%.","""Termodinâmica""",Difícil,temp1=10;temp2=40;prop=33.3333,FALSE